,Account_Length,Vmail_Message,Day_Mins,Eve_Mins,Night_Mins,Intl_Mins,CustServ_Calls,Intl_Plan,Vmail_Plan,Day_Calls,Day_Charge,Eve_Calls,Eve_Charge,Night_Calls,Night_Charge,Intl_Calls,Intl_Charge,State,Phone,Churn,total_mins,total_bills
0,128,25,265.1,197.4,244.7,10.0,1,0,1,110,45.07,99,16.78,91,11.01,3,2.7,KS,382-4657,0,717.2,75.56
1,107,26,161.6,195.5,254.4,13.7,1,0,1,123,27.47,103,16.62,103,11.45,3,3.7,OH,371-7191,0,625.2,59.24000000000001
2,137,0,243.4,121.2,162.6,12.2,0,0,0,114,41.38,110,10.3,104,7.32,5,3.29,NJ,358-1921,0,539.4000000000001,62.290000000000006
3,84,0,299.4,61.9,196.9,6.6,2,1,0,71,50.9,88,5.26,89,8.86,7,1.78,OH,375-9999,0,564.8,66.8
4,75,0,166.7,148.3,186.9,10.1,3,1,0,113,28.34,122,12.61,121,8.41,3,2.73,OK,330-6626,0,512.0,52.089999999999996
5,118,0,223.4,220.6,203.9,6.3,0,1,0,98,37.98,101,18.75,118,9.18,6,1.7,AL,391-8027,0,654.1999999999999,67.61
6,121,24,218.2,348.5,212.6,7.5,3,0,1,88,37.09,108,29.62,118,9.57,7,2.03,MA,355-9993,0,786.8000000000001,78.31
7,147,0,157.0,103.1,211.8,7.1,0,1,0,79,26.69,94,8.76,96,9.53,6,1.92,MO,329-9001,0,479.00000000000006,46.900000000000006
8,117,0,184.5,351.6,215.8,8.7,1,0,0,97,31.37,80,29.89,90,9.71,4,2.35,LA,335-4719,0,760.6000000000001,73.32
9,141,37,258.6,222.0,326.4,11.2,0,1,1,84,43.96,111,18.87,97,14.69,5,3.02,WV,330-8173,0,818.2,80.53999999999999
10,65,0,129.1,228.5,208.8,12.7,4,0,0,137,21.95,83,19.42,111,9.4,6,3.43,IN,329-6603,1,579.1000000000001,54.2
11,74,0,187.7,163.4,196.0,9.1,0,0,0,127,31.91,148,13.89,94,8.82,5,2.46,RI,344-9403,0,556.2,57.08
12,168,0,128.8,104.9,141.1,11.2,1,0,0,96,21.9,71,8.92,128,6.35,2,3.02,IA,363-1107,0,386.0,40.190000000000005
13,95,0,156.6,247.6,192.3,12.3,3,0,0,88,26.62,75,21.05,115,8.65,5,3.32,MT,394-8006,0,608.8,59.64
14,62,0,120.7,307.2,203.0,13.1,4,0,0,70,20.52,76,26.11,99,9.14,6,3.54,IA,366-9238,0,644.0,59.309999999999995
15,161,0,332.9,317.8,160.6,5.4,4,0,0,67,56.59,97,27.01,128,7.23,9,1.46,NY,351-7269,1,816.7,92.29
16,85,27,196.4,280.9,89.3,13.8,1,0,1,139,33.39,90,23.88,75,4.02,4,3.73,ID,350-8884,0,580.3999999999999,65.02
17,93,0,190.7,218.2,129.6,8.1,3,0,0,114,32.42,111,18.55,121,5.83,3,2.19,VT,386-2923,0,546.6,58.989999999999995
18,76,33,189.7,212.8,165.7,10.0,1,0,1,66,32.25,65,18.09,108,7.46,5,2.7,VA,356-2992,0,578.2,60.50000000000001
19,73,0,224.4,159.5,192.8,13.0,1,0,0,90,38.15,88,13.56,74,8.68,2,3.51,TX,373-2782,0,589.7,63.9
20,147,0,155.1,239.7,208.8,10.6,0,0,0,117,26.37,93,20.37,133,9.4,4,2.86,FL,396-5800,0,614.1999999999999,59.0
21,77,0,62.4,169.9,209.6,5.7,5,0,0,89,10.61,121,14.44,64,9.43,6,1.54,CO,393-7984,1,447.59999999999997,36.019999999999996
22,130,0,183.0,72.9,181.8,9.5,0,0,0,112,31.11,99,6.2,78,8.18,19,2.57,AZ,358-1958,0,447.20000000000005,48.06
23,111,0,110.4,137.3,189.6,7.7,2,0,0,103,18.77,102,11.67,105,8.53,6,2.08,SC,350-2565,0,445.0,41.05
24,132,0,81.1,245.2,237.0,10.3,0,0,0,86,13.79,72,20.84,115,10.67,2,2.78,VA,343-4696,0,573.5999999999999,48.08
25,174,0,124.3,277.1,250.7,15.5,3,0,0,76,21.13,112,23.55,115,11.28,5,4.19,NE,331-3698,0,667.6,60.15
26,57,39,213.0,191.1,182.7,9.5,0,0,1,115,36.21,112,16.24,115,8.22,3,2.57,WY,357-3817,0,596.3,63.24
27,54,0,134.3,155.5,102.1,14.7,3,0,0,73,22.83,100,13.22,68,4.59,4,3.97,MT,418-6412,0,406.59999999999997,44.61
28,20,0,190.0,258.2,181.5,6.3,0,0,0,109,32.3,84,21.95,102,8.17,6,1.7,MO,353-2630,0,636.0,64.12
29,49,0,119.3,215.1,178.7,11.1,1,0,0,117,20.28,109,18.28,90,8.04,1,3.0,HI,410-7789,0,524.1999999999999,49.6
30,142,0,84.8,136.7,250.5,14.2,2,0,0,95,14.42,63,11.62,148,11.27,6,3.83,IL,416-8428,0,486.2,41.14
31,75,0,226.1,201.5,246.2,10.3,1,0,0,105,38.44,107,17.13,98,11.08,5,2.78,NH,370-3359,0,684.0999999999999,69.42999999999999
32,172,0,212.0,31.2,293.3,12.6,3,0,0,121,36.04,115,2.65,78,13.2,10,3.4,LA,383-1121,0,549.1,55.29
33,12,0,249.6,252.4,280.2,11.8,1,0,0,118,42.43,119,21.45,90,12.61,3,3.19,AZ,360-1596,1,794.0,79.67999999999999
34,57,25,176.8,195.0,213.5,8.3,0,0,1,94,30.06,75,16.58,116,9.61,4,2.24,OK,395-2854,0,593.5999999999999,58.49
35,72,37,220.0,217.3,152.8,14.7,3,0,1,80,37.4,102,18.47,71,6.88,6,3.97,GA,362-1407,0,604.8000000000001,66.72
36,36,30,146.3,162.5,129.3,14.5,0,0,1,128,24.87,80,13.81,109,5.82,6,3.92,AK,341-9764,0,452.6,48.42
37,78,0,130.8,223.7,227.8,10.0,1,0,0,64,22.24,116,19.01,108,10.25,5,2.7,MA,353-3305,0,592.3,54.2
38,136,33,203.9,187.6,101.7,10.5,3,1,1,106,34.66,99,15.95,107,4.58,6,2.84,AK,402-1381,0,503.7,58.03
39,149,0,140.4,271.8,188.3,11.1,1,0,0,94,23.87,92,23.1,108,8.47,9,3.0,NJ,332-9891,0,611.6,58.44
40,98,0,126.3,166.8,187.8,9.4,3,0,0,102,21.47,85,14.18,135,8.45,2,2.54,GA,372-9976,0,490.3,46.63999999999999
41,135,41,173.1,203.9,122.2,14.6,0,1,1,85,29.43,107,17.33,78,5.5,15,3.94,MD,383-6029,1,513.8,56.199999999999996
42,34,0,124.8,282.2,311.5,10.0,2,0,0,82,21.22,98,23.99,78,14.02,4,2.7,AR,353-7289,0,728.5,61.92999999999999
43,160,0,85.8,165.3,178.5,9.2,3,0,0,77,14.59,110,14.05,92,8.03,4,2.48,ID,390-7274,0,438.8,39.15
44,64,0,154.0,225.8,265.3,3.5,1,0,0,67,26.18,118,19.19,86,11.94,3,0.95,WI,352-1237,0,648.6,58.260000000000005
